"label","n_hh","w_hh","matched","numeric_code","group_rule_improved","svkey","v113_class"
"other",3,7.316364,FALSE,FALSE,NA,"CD81FL","character"
"piped into dwelling",64,142.030178,TRUE,FALSE,NA,"CD81FL","character"
"piped to neighbor",785,1175.991721,TRUE,FALSE,NA,"CD81FL","character"
"piped to yard/plot",609,1185.46245,TRUE,FALSE,NA,"CD81FL","character"
"protected spring",2125,1848.15492999998,TRUE,FALSE,NA,"CD81FL","character"
"protected well",654,651.786736999998,TRUE,FALSE,NA,"CD81FL","character"
"public tap/standpipe",1557,1888.05617999999,TRUE,FALSE,NA,"CD81FL","character"
"rainwater",13,29.049329,TRUE,FALSE,NA,"CD81FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",2609,1945.718857,FALSE,FALSE,NA,"CD81FL","character"
"tanker truck",36,77.695072,FALSE,FALSE,NA,"CD81FL","character"
"tube well or borehole",1005,1411.148653,TRUE,FALSE,NA,"CD81FL","character"
"unprotected spring",6506,4948.04687699996,FALSE,FALSE,NA,"CD81FL","character"
"unprotected well",1324,1049.87133,FALSE,FALSE,NA,"CD81FL","character"
"water sachet",9,6.500707,TRUE,FALSE,NA,"CD81FL","character"
"11",103,94.2712879999999,FALSE,TRUE,TRUE,"CG51FL","character"
"12",944,898.659529,FALSE,TRUE,TRUE,"CG51FL","character"
"13",1229,989.432662,FALSE,TRUE,TRUE,"CG51FL","character"
"21",61,59.999871,FALSE,TRUE,FALSE,"CG51FL","character"
"22",158,177.470611,FALSE,TRUE,FALSE,"CG51FL","character"
"31",118,131.169945,FALSE,TRUE,TRUE,"CG51FL","character"
"32",249,271.887208,FALSE,TRUE,TRUE,"CG51FL","character"
"41",263,279.645498,FALSE,TRUE,FALSE,"CG51FL","character"
"42",399,515.001787,FALSE,TRUE,FALSE,"CG51FL","character"
"43",306,376.751348,FALSE,TRUE,FALSE,"CG51FL","character"
"bottled water",4,7.229824,TRUE,FALSE,NA,"CG51FL","character"
"not dejure resident",117,126.078921,FALSE,FALSE,NA,"CG51FL","character"
"other",170,175.781203,FALSE,FALSE,NA,"CG51FL","character"
"rainwater",6,3.709549,TRUE,FALSE,NA,"CG51FL","character"
"tanker truck",26,20.94796,FALSE,FALSE,NA,"CG51FL","character"
"bottled water",57,126.598986,TRUE,FALSE,NA,"CG61FL","character"
"not a dejure resident",217,175.119778,FALSE,FALSE,NA,"CG61FL","character"
"other",208,174.84356,FALSE,FALSE,NA,"CG61FL","character"
"piped into dwelling",104,222.03257,TRUE,FALSE,NA,"CG61FL","character"
"piped to yard/plot",893,1578.147681,TRUE,FALSE,NA,"CG61FL","character"
"protected spring",430,290.436394999999,TRUE,FALSE,NA,"CG61FL","character"
"protected well",309,323.776324,TRUE,FALSE,NA,"CG61FL","character"
"public tap/standpipe",1100,1984.748053,TRUE,FALSE,NA,"CG61FL","character"
"rainwater",266,128.779244,TRUE,FALSE,NA,"CG61FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",1218,521.439820999998,FALSE,FALSE,NA,"CG61FL","character"
"tube well or borehole",959,705.510089000001,TRUE,FALSE,NA,"CG61FL","character"
"unprotected spring",1285,543.243776000002,FALSE,FALSE,NA,"CG61FL","character"
"unprotected well",502,350.309921,FALSE,FALSE,NA,"CG61FL","character"
"bottled water",6,7.436756,TRUE,FALSE,NA,"KM61FL","character"
"cart with small tank",5,8.592732,FALSE,FALSE,NA,"KM61FL","character"
"not a dejure resident",11,6.188031,FALSE,FALSE,NA,"KM61FL","character"
"other",94,129.843086,FALSE,FALSE,NA,"KM61FL","character"
"piped into dwelling",406,374.96296,TRUE,FALSE,NA,"KM61FL","character"
"piped to yard/plot",741,692.460044000001,TRUE,FALSE,NA,"KM61FL","character"
"protected spring",80,89.321575,TRUE,FALSE,NA,"KM61FL","character"
"protected well",136,160.640008,TRUE,FALSE,NA,"KM61FL","character"
"public tap/standpipe",649,621.058914,TRUE,FALSE,NA,"KM61FL","character"
"rainwater",392,446.625142,TRUE,FALSE,NA,"KM61FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",36,30.964313,FALSE,FALSE,NA,"KM61FL","character"
"tanker truck",55,67.07709,FALSE,FALSE,NA,"KM61FL","character"
