"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"BJ71FL","BEN","BEN:BJ71FL:atacora",7214,2154,119,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:atlantic",7314,2181,119,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:borgou",9664,2895,125,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:collines",5781,1736,79,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:couffo",4853,1484,65,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:donga",5206,1590,114,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:littoral",4754,1411,36,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:mono",3759,1109,61,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:oueme",5764,1694,64,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:plateau",4705,1397,90,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:zou",6771,2010,90,0,0,0,"previous_primary"
"BJ71FL","BEN","BEN:BJ71FL:alibori",9028,2739,123,0,0,0,"eligible_MAP"
"BJ71FL","BEN","BEN:BJ71FL:atacora",7214,2154,119,0,0,0,"eligible_MAP"
"BJ71FL","BEN","BEN:BJ71FL:atlantic",7314,2181,119,0,0,0,"eligible_MAP"
"BJ71FL","BEN","BEN:BJ71FL:borgou",9664,2895,125,0,0,0,"eligible_MAP"
