"iso3","age_band","draw","log_hr_zero_vs_current","variance"
"GNB","36-47",10,-0.202696140543781,0.00119286215076062
"GNB","48-59",10,-0.238787331010865,0.00183386709119043
"GNQ","<1",10,0.0410292662512921,0.000276584519946851
"GNQ","1-5",10,-0.0272187759519457,0.000444794565875427
"GNQ","6-11",10,-0.256453411425172,0.00273254778393916
"GNQ","12-23",10,-0.522095094750958,0.00408005769878064
"GNQ","24-35",10,-0.790808501084128,0.00527307489406682
"GNQ","36-47",10,-0.5984086826113,0.00697536071911088
"GNQ","48-59",10,-0.594295897323535,0.0103282184384958
"KEN","<1",10,0.00822521750734454,1.13119817781058e-05
"KEN","1-5",10,-0.00545385248479196,1.79045538565454e-05
"KEN","6-11",10,-0.0585532442244211,0.000210419399326236
"KEN","12-23",10,-0.127873979927374,0.000355622260899808
"KEN","24-35",10,-0.202186047717616,0.00047073555091442
"KEN","36-47",10,-0.144335259431792,0.000613952528015184
"KEN","48-59",10,-0.171015287877359,0.000945045681749435
"LBR","<1",10,0.0271492955086954,0.000122245942914942
"LBR","1-5",10,-0.0180055408119364,0.000194911480166119
"LBR","6-11",10,-0.183449823852884,0.00176865857021636
"LBR","12-23",10,-0.390161629654398,0.00286823377897216
"LBR","24-35",10,-0.607282524781671,0.00376875673597135
"LBR","36-47",10,-0.442956740331903,0.0049345886633278
"LBR","48-59",10,-0.492971006705856,0.00749130433960245
"MDG","<1",10,0.0172225341882,4.94511494220495e-05
"MDG","1-5",10,-0.0114204794839917,7.84755556321916e-05
"MDG","6-11",10,-0.120475713466297,0.000846253735350177
"MDG","12-23",10,-0.260837177977641,0.00141218557767554
"MDG","24-35",10,-0.410335745709838,0.00186518274439642
"MDG","36-47",10,-0.294971495137409,0.00243535774378236
"MDG","48-59",10,-0.342593204353921,0.00373244687870504
"MLI","<1",10,0.0320954548386328,0.000170301911137509
"MLI","1-5",10,-0.0212878266496705,0.000272320934966524
"MLI","6-11",10,-0.211778748217065,0.00219252308030991
"MLI","12-23",10,-0.444689157103045,0.0034762396136653
"MLI","24-35",10,-0.68675892840302,0.00454814125438296
"MLI","36-47",10,-0.506304340571877,0.00596985240750716
"MLI","48-59",10,-0.545696214677503,0.00899789994334722
"MOZ","<1",10,0.0432598483475817,0.000307012784083178
"MOZ","1-5",10,-0.0287000282121844,0.000494416912066054
"MOZ","6-11",10,-0.266327279650717,0.00282359224433939
"MOZ","12-23",10,-0.537287242041108,0.00414120410222891
"MOZ","24-35",10,-0.809213637770301,0.00533120826670493
"MOZ","36-47",10,-0.616826195234935,0.00707068832704031
"MOZ","48-59",10,-0.597847913077558,0.0104185559573051
"MRT","<1",10,0.00499638620590534,4.17634910309347e-06
"MRT","1-5",10,-0.0033128836512971,6.60702060687257e-06
"MRT","6-11",10,-0.0356826573072484,7.88772524506972e-05
"MRT","12-23",10,-0.078049362531605,0.000133603303692255
"MRT","24-35",10,-0.123518864636259,0.00017691725269981
"MRT","36-47",10,-0.0880666947485344,0.000230699668340605
"MRT","48-59",10,-0.104717666936987,0.000355384156131765
"MWI","<1",10,0.0345241016218738,0.000196722944835995
"MWI","1-5",10,-0.0228998363704094,0.000315047384213466
"MWI","6-11",10,-0.22477707081977,0.00237101980025454
"MWI","12-23",10,-0.468499772045293,0.0037075532678076
"MWI","24-35",10,-0.720205007196564,0.00483762931888311
"MWI","36-47",10,-0.534302843835355,0.00636028476816053
"MWI","48-59",10,-0.564946268963182,0.00954538413688228
"NAM","<1",10,0.00170345842705868,4.85592880212053e-07
"NAM","1-5",10,-0.00112948050188093,7.68014945234044e-07
"NAM","6-11",10,-0.0121856425952567,9.24282148989215e-06
"NAM","12-23",10,-0.0266752229753783,1.56731690016553e-05
"NAM","24-35",10,-0.0422350607264793,2.07583570250289e-05
"NAM","36-47",10,-0.0300936586693191,2.70663169682784e-05
"NAM","48-59",10,-0.0358483627068768,4.17108638481759e-05
"NER","<1",10,0.0312162733306548,0.000161194429339069
"NER","1-5",10,-0.0207043313385807,0.00025761955722064
"NER","6-11",10,-0.206918790417464,0.00212239306180498
"NER","12-23",10,-0.435567389656931,0.00338032506607686
"NER","24-35",10,-0.673705920906636,0.00442651511845158
"NER","36-47",10,-0.495642316863305,0.00580720171266153
"NER","48-59",10,-0.537602463861805,0.00876522283983652
"NGA","<1",10,0.0444642356281135,0.000324088310607951
"NGA","1-5",10,-0.0294998719426303,0.000522300225302501
"NGA","6-11",10,-0.271463054034708,0.00286731566659721
"NGA","12-23",10,-0.544863298807091,0.00416390247445377
"NGA","24-35",10,-0.818038041509337,0.00534856434754223
"NGA","36-47",10,-0.626035349194786,0.00710433765843344
"NGA","48-59",10,-0.598578491119606,0.0104410333469245
"RWA","<1",10,0.00531875830255085,4.73245512987078e-06
"RWA","1-5",10,-0.00352663806079447,7.48707562488505e-06
"RWA","6-11",10,-0.0379754520718395,8.9274853738854e-05
"RWA","12-23",10,-0.0830543494660871,0.000151189080195134
"RWA","24-35",10,-0.131430378138759,0.000200198459385763
"RWA","36-47",10,-0.0937165231622348,0.000261062035856312
"RWA","48-59",10,-0.111405067887534,0.000402132439469249
"SEN","<1",10,0.0121935680518103,2.48343481264999e-05
"SEN","1-5",10,-0.00808533210104632,3.93444801252677e-05
"SEN","6-11",10,-0.0862705105021404,0.000448663027692505
