"survey","IndicatorId","CharacteristicLabel","value"
"LS71FL","CN_NUTS_C_HA2","Mokhotlong",47.7
"LS71FL","CN_NUTS_C_HA2","Thaba-Tseka",40
"LS71FL","CN_NUTS_C_WH2","Butha-Buthe",1.8
"LS71FL","CN_NUTS_C_WH2","Leribe",3.3
"LS71FL","CN_NUTS_C_WH2","Berea",3.5
"LS71FL","CN_NUTS_C_WH2","Maseru",1.8
"LS71FL","CN_NUTS_C_WH2","Mafeteng",2.6
"LS71FL","CN_NUTS_C_WH2","Mohale's Hoek",3.3
"LS71FL","CN_NUTS_C_WH2","Quthing",1.2
"LS71FL","CN_NUTS_C_WH2","Qasha's Nek",4
"LS71FL","CN_NUTS_C_WH2","Mokhotlong",3.6
"LS71FL","CN_NUTS_C_WH2","Thaba-Tseka",4.1
"LS81FL","CN_NUTS_C_HA2","Butha-Buthe",31.5
"LS81FL","CN_NUTS_C_HA2","Leribe",25.5
"LS81FL","CN_NUTS_C_HA2","Berea",30.5
"LS81FL","CN_NUTS_C_HA2","Maseru",38.5
"LS81FL","CN_NUTS_C_HA2","Mafeteng",35.6
"LS81FL","CN_NUTS_C_HA2","Mohale's Hoek",44.7
"LS81FL","CN_NUTS_C_HA2","Quthing",38.8
"LS81FL","CN_NUTS_C_HA2","Qasha's Nek",47.9
"LS81FL","CN_NUTS_C_HA2","Mokhotlong",37.8
"LS81FL","CN_NUTS_C_HA2","Thaba-Tseka",46.3
"LS81FL","CN_NUTS_C_WH2","Butha-Buthe",2.3
"LS81FL","CN_NUTS_C_WH2","Leribe",1.4
"LS81FL","CN_NUTS_C_WH2","Berea",2
"LS81FL","CN_NUTS_C_WH2","Maseru",1.5
"LS81FL","CN_NUTS_C_WH2","Mafeteng",1.1
"LS81FL","CN_NUTS_C_WH2","Mohale's Hoek",2
"LS81FL","CN_NUTS_C_WH2","Quthing",1.2
"LS81FL","CN_NUTS_C_WH2","Qasha's Nek",0
"LS81FL","CN_NUTS_C_WH2","Mokhotlong",4.3
"LS81FL","CN_NUTS_C_WH2","Thaba-Tseka",1.9
"MD51FL","CN_NUTS_C_HA2","Antananarivo",52.7
"MD51FL","CN_NUTS_C_HA2","Fianarantsoa",56.3
"MD51FL","CN_NUTS_C_HA2","Toamasina",54.3
"MD51FL","CN_NUTS_C_HA2","Mahajanga",36
"MD51FL","CN_NUTS_C_HA2","Toliary",48.1
"MD51FL","CN_NUTS_C_HA2","Antsiranana",39.8
"MD81FL","CN_NUTS_C_HA2","Fianarantsoa",46.4
"MD81FL","CN_NUTS_C_HA2","Toamasina",39
"MD81FL","CN_NUTS_C_HA2","Mahajanga",28
"MD81FL","CN_NUTS_C_HA2","Toliary",36.1
"MD81FL","CN_NUTS_C_HA2","Antsiranana",27.7
"MD81FL","CN_NUTS_C_WH2","Fianarantsoa",6.9
"MD81FL","CN_NUTS_C_WH2","Toamasina",8.3
"MD81FL","CN_NUTS_C_WH2","Mahajanga",9.8
"MD81FL","CN_NUTS_C_WH2","Toliary",9.5
