"iso3","regkey","year","coverage","coverage_confirmed"
"UGA","central1southbuganda",2000,0,0
"UGA","central1southbuganda",2001,0,0
"UGA","central1southbuganda",2002,0,0
"UGA","central1southbuganda",2003,0,0
"UGA","central1southbuganda",2004,0,0
"UGA","central1southbuganda",2005,0,0
"UGA","central1southbuganda",2006,0,0
"UGA","central1southbuganda",2007,0,0
"UGA","central1southbuganda",2008,0,0
"UGA","central1southbuganda",2009,0,0
"UGA","central1southbuganda",2010,0,0
"UGA","central1southbuganda",2011,0,0
"UGA","central1southbuganda",2012,0,0
"UGA","central1southbuganda",2013,0,0
"UGA","central1southbuganda",2014,0,0
"UGA","central1southbuganda",2015,0,0
"UGA","central1southbuganda",2016,0,0
"UGA","central1southbuganda",2017,0,0
"UGA","central1southbuganda",2018,0,0
"UGA","central1southbuganda",2019,0,0
"UGA","central1southbuganda",2020,0,0
"UGA","central1southbuganda",2021,0,0
"UGA","central1southbuganda",2022,0,0
"UGA","central1southbuganda",2023,0,0
"UGA","central1southbuganda",2024,0,0
"UGA","central1southbuganda",2025,0,0
"UGA","central2northbuganda",2000,0,0
"UGA","central2northbuganda",2001,0,0
"UGA","central2northbuganda",2002,0,0
"UGA","central2northbuganda",2003,0,0
"UGA","central2northbuganda",2004,0,0
"UGA","central2northbuganda",2005,0,0
"UGA","central2northbuganda",2006,0,0
"UGA","central2northbuganda",2007,0,0
"UGA","central2northbuganda",2008,0,0
"UGA","central2northbuganda",2009,0,0
"UGA","central2northbuganda",2010,0,0
"UGA","central2northbuganda",2011,0,0
"UGA","central2northbuganda",2012,0,0
"UGA","central2northbuganda",2013,0,0
"UGA","central2northbuganda",2014,0,0
"UGA","central2northbuganda",2015,0,0
"UGA","central2northbuganda",2016,0,0
"UGA","central2northbuganda",2017,0,0
"UGA","central2northbuganda",2018,0,0
"UGA","central2northbuganda",2019,0,0
"UGA","central2northbuganda",2020,0,0
"UGA","central2northbuganda",2021,0,0
"UGA","central2northbuganda",2022,0,0
"UGA","central2northbuganda",2023,0,0
"UGA","central2northbuganda",2024,0,0
"UGA","central2northbuganda",2025,0,0
"UGA","eastcentralbusoga",2000,0,0
"UGA","eastcentralbusoga",2001,0,0
"UGA","eastcentralbusoga",2002,0,0
