"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"GNQ","12 to 23 months",387.787787179582,1282.47163755067,30237.5331995801,347.619402696389,427.066628561584,1149.62884175094,1412.37258258725
"GNQ","2 to 4",511.160431585651,599.03849005615,85330.148241015,463.235974411971,567.55633630856,542.87492048363,665.12990778535
"KEN","0 to 6 days (early neonatal)",25019.2642147826,99171.6422005527,25228.2443444737,23171.5769251369,27194.9593552848,91847.7584438517,107795.687182814
"KEN","7 to 27 days (late neonatal)",4042.79027001807,5413.87815722728,74674.5706609804,3654.85822483994,4485.82590169301,4894.38130341969,6007.16664586997
"KEN","1 to 5 months",14750.0671167939,2711.0832830468,544065.437201076,13198.7916739699,16213.1982059198,2425.9566536464,2980.00885506126
"KEN","6-11 months",13095.4263970097,2089.33194673283,626775.770000909,11812.1095734466,14476.5623140495,1884.58299423883,2309.68761189165
"KEN","12 to 23 months",11134.1878813716,906.18707379655,1228685.35684624,10099.1830411395,12282.401920901,821.95030524836,999.63769019167
"KEN","2 to 4",14509.5901442855,416.19634212718,3486236.82517896,12962.2612153617,16268.641699362,371.81241164523,466.6533719644
"LBR","0 to 6 days (early neonatal)",4466.93825107943,173048.175189098,2581.32641167593,4211.44288510093,4735.70376821236,163150.342632052,183460.090393516
"LBR","7 to 27 days (late neonatal)",875.126612788015,11514.1358659129,7600.45411118336,788.681238107368,967.06571700318,10376.7646849798,12723.7886428422
"LBR","1 to 5 months",3615.72797757127,6543.4158012707,55257.4998652709,3309.39310919509,4034.69295897015,5989.03880426019,7301.6205380402
"LBR","6-11 months",3127.61811566249,4917.39509845935,63603.1486801293,2836.87705097788,3481.01203468754,4460.27769040963,5473.01840698818
"LBR","12 to 23 months",3027.94113524104,2538.44147370648,119283.472422148,2751.11260061133,3360.90067173596,2306.36528661327,2817.57447489593
"LBR","2 to 4",3228.26241075069,997.07420449926,323773.536230632,2883.69223712922,3571.94588700954,890.65099967747,1103.22354587534
"LSO","0 to 6 days (early neonatal)",1461.17193891889,148166.581678458,986.16835346167,1367.29924211521,1572.31734847404,138647.649492674,159437.011231891
"LSO","7 to 27 days (late neonatal)",277.739138026035,9560.65790961124,2905.02118841452,251.818462995058,307.725961256323,8668.38644755267,10592.8990288801
"LSO","1 to 5 months",1056.80456670256,5004.91894600262,21115.3183119302,950.455199429026,1182.34966084069,4501.25915881655,5599.48774332545
"LSO","6-11 months",689.164701600988,2836.47819768372,24296.4921134865,609.359018722506,764.358959347247,2508.01233312303,3145.96426421149
"LSO","12 to 23 months",616.093914070211,1269.49836597074,48530.5007540602,550.983970397655,679.302506252045,1135.33543202015,1399.74345143185
"LSO","2 to 4",619.607475279194,427.40266854954,144970.427391559,557.96920003384,692.369706013609,384.88484173865,477.59375375472
"MDG","0 to 6 days (early neonatal)",16512.7465370604,112314.532570018,14702.2350173307,15218.7456338344,17759.443228722,103513.143517941,120794.173183789
"MDG","7 to 27 days (late neonatal)",3184.82304666376,7338.43969870569,43399.1853503337,2842.32443711674,3556.39463032274,6549.25758207782,8194.6114923915
"MDG","1 to 5 months",11067.2991380621,3520.57551519906,314360.509816712,9961.39765758051,12338.8640830429,3168.78149338429,3925.06809784635
"MDG","6-11 months",9774.61070418855,2720.84300096492,359249.34664448,8848.83695835969,10944.5353844363,2463.14629129073,3046.50112426432
"MDG","12 to 23 months",8264.11573037871,1183.01113227062,698566.184623887,7407.55855815362,9225.58440069563,1060.39466570257,1320.64571743661
"MDG","2 to 4",13352.0418557109,680.12606089815,1963171.62704789,12040.9503628061,14833.8174214417,613.34170670104,755.60471723749
"MLI","0 to 6 days (early neonatal)",21790.6794834511,174064.517300869,12518.7372023594,20412.1980390022,23113.354107258,163053.171490453,184630.07676926
"MLI","7 to 27 days (late neonatal)",4763.124796605,13038.0768703745,36532.4184230568,4362.61172433567,5260.97738722659,11941.7545091466,14400.8461917381
"MLI","1 to 5 months",11174.1000660812,4262.71825730247,262135.552752961,9978.05019237045,12206.1784090643,3806.44673627078,4656.43758768102
"MLI","6-11 months",11044.8226926516,3738.99409666375,295395.563809708,9887.88778717336,12253.1993488997,3347.33794226615,4148.064781634
"MLI","12 to 23 months",13352.8377396794,2352.85165647258,567517.195695122,12161.5774974986,14565.9333239283,2142.94431776689,2566.6065159642
"MLI","2 to 4",25704.4369757645,1688.76637837546,1522083.65259447,22712.019536736,28272.2188783444,1492.16631411961,1857.4681378486
