"iso3","Location","Year","Age","Unit","Value","Lower","Upper"
"KEN","Kenya",2015,"6-11 months","Number",8937.61032369256,8345.19909825559,9625.0294265059
"KEN","Kenya",2015,"6-11 months","Rate (per 100,000)",1371.08440304704,1280.20487686838,1476.53872205281
"MDG","Madagascar",2015,"Under 5","Number",64918.4040198668,62833.9132952235,66712.6097726159
"MDG","Madagascar",2015,"Under 5","Rate (per 100,000)",1579.04644016054,1528.34421314202,1622.68790438889
"MDG","Madagascar",2015,"0 to 6 days (early neonatal)","Number",19504.9665149343,18431.0759001803,20573.3185009569
"MDG","Madagascar",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",109527.388924705,103497.107614829,115526.568845982
"MRT","Mauritania",2015,"12 to 23 months","Number",561.43667133656,517.362789500981,600.642972725335
"MRT","Mauritania",2015,"12 to 23 months","Rate (per 100,000)",429.05819611857,395.3762846907,459.02023067948
"MRT","Mauritania",2015,"1 to 5 months","Number",1214.12389835193,1120.51307843435,1321.00507125582
"MRT","Mauritania",2015,"1 to 5 months","Rate (per 100,000)",2131.68513609142,1967.32893351069,2319.34061994815
"MRT","Mauritania",2015,"6-11 months","Number",578.393861562466,534.359272693904,622.670666053657
"MRT","Mauritania",2015,"6-11 months","Rate (per 100,000)",873.33682458197,806.84748129891,940.19189758105
"MOZ","Mozambique",2015,"1 to 5 months","Number",13732.9527296918,12748.3842344681,14752.5920498405
"MOZ","Mozambique",2015,"1 to 5 months","Rate (per 100,000)",3097.30560907198,2875.24779071377,3327.27323858976
"MOZ","Mozambique",2015,"6-11 months","Number",11037.6458965482,10218.6462177861,11894.6536725467
"MOZ","Mozambique",2015,"6-11 months","Rate (per 100,000)",2169.42317085189,2008.45072286075,2337.86602037589
"RWA","Rwanda",2015,"Under 5","Number",24192.851240852,23411.830783257,24897.355350571
"RWA","Rwanda",2015,"Under 5","Rate (per 100,000)",1381.06942056255,1336.48420569558,1421.28663485066
"RWA","Rwanda",2015,"0 to 6 days (early neonatal)","Number",7157.16321578967,6721.78604501789,7577.18602586431
"RWA","Rwanda",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",99839.6196782204,93766.2789095569,105698.773137445
"RWA","Rwanda",2015,"7 to 27 days (late neonatal)","Number",1671.8371362838,1551.5866742848,1809.55623520221
"RWA","Rwanda",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",7862.45058225823,7296.92700676062,8510.12707297548
"MDG","Madagascar",2015,"7 to 27 days (late neonatal)","Number",3135.92812154978,2877.09028728433,3402.08884396262
"MDG","Madagascar",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",5954.15411677856,5462.70141227331,6459.51071286531
"MDG","Madagascar",2015,"Under 1","Number",42877.8976344978,41365.1531434228,44450.2050369641
"MDG","Madagascar",2015,"Under 1","Rate (per 100,000)",4794.02741481634,4624.89275659113,4969.82159335082
