"svkey","iso3","survey_year","band","month","age_months","person_months_w","person_months_n","deaths_w","deaths_n"
"SN5AFL","SEN",2008,"<1 month",9,0,1403.35595,1520,29.566466,41
"BF62FL","BFA",2010,"<1 month",9,0,1271.545547,1209,32.848652,30
"NG61FL","NGA",2010,"<1 month",9,0,258.698863,196,7.34027,7
"SN61FL","SEN",2010,"<1 month",9,0,1240.779573,1283,29.505611,35
"CM61FL","CMR",2011,"<1 month",9,0,204.226582,136,8.545203,6
"BJ61FL","BEN",2012,"<1 month",9,0,66.927922,70,0.464202,1
"GN62FL","GIN",2012,"<1 month",9,0,92.211727,109,2.599469,3
"ML6AFL","MLI",2012,"<1 month",9,0,933.895066,935,28.297741,28
"NI61FL","NER",2012,"<1 month",9,0,1066.481391,994,28.200496,24
"SN6DFL","SEN",2012,"<1 month",9,0,701.581609,724,15.489303,14
"GM61FL","GMB",2013,"<1 month",9,0,772.425724999999,806,9.079704,11
"NG6AFL","NGA",2013,"<1 month",9,0,861.172759,721,35.619491,27
"SN71FL","SEN",2014,"<1 month",9,0,561.555869,639,11.599963,13
"TD71FL","TCD",2014,"<1 month",9,0,872.433202,996,20.919612,23
