"svkey","iso3","survey_year","regkey","band","month","person_months_w","person_months_n","deaths_w","deaths_n"
"BF43FL","BFA",2003,"hautsbassins","1-5 months",1,509.811209,315,2.267253,1
"BF62FL","BFA",2010,"hautsbassins","1-5 months",1,651.258797,491,0,0
"BF81FL","BFA",2021,"hautsbassins","1-5 months",1,445.893632,468,0,0
"GM61FL","GMB",2013,"janjanbureh","1-5 months",1,290.392731,409,0,0
"GM81FL","GMB",2019,"janjanbureh","1-5 months",1,228.440095,483,0.412812,1
"SN61FL","SEN",2010,"kaffrine","1-5 months",1,226.017177,405,0.532647,1
"SN7ZFL","SEN",2017,"kaffrine","1-5 months",1,294.612066,520,0.649273,1
"SN8SFL","SEN",2023,"kaffrine","1-5 months",1,264.273445,511,0.275587,1
"TD71FL","TCD",2014,"kanem","1-5 months",1,290.494849,395,0.643896,1
"GM61FL","GMB",2013,"kanifing","1-5 months",1,650.906156,416,1.683126,1
"GM81FL","GMB",2019,"kanifing","1-5 months",1,582.714962,352,0,0
"SN4AFL","SEN",2005,"kaolack","1-5 months",1,592.69934,557,2.108819,2
"SN5AFL","SEN",2008,"kaolack","1-5 months",1,631.141154,1389,1.372262,4
"SN61FL","SEN",2010,"kaolack","1-5 months",1,465.675007,548,1.761263,2
"SN7ZFL","SEN",2017,"kaolack","1-5 months",1,353.281653,354,0,0
"SN8SFL","SEN",2023,"kaolack","1-5 months",1,352.99131,327,0,0
