"iso3","year","allcause_deaths","under5_person_years","leaf_deaths","leaf_person_years","age_rows","death_sum_relative_error","person_year_sum_relative_error","ihme_malaria_deaths","ihme_native_rate_per100000","malaria_native_person_years","malaria_denominator_relative_difference"
"BWA",2003,2464.367630573,221062.496910769,2464.367630573,221062.496910769,6,-2.22044604925031e-16,-3.10862446895044e-15,1.85038740826308,0.83704266174,221062.496912235,6.62891963543188e-12
"BWA",2004,2415.17305235807,221213.536764013,2415.17305235807,221213.536764015,6,-8.88178419700125e-16,6.88338275267597e-15,1.77086578735415,0.80052324702,221213.536764399,1.7466028623403e-12
"BWA",2005,2386.55814676258,222030.072143294,2386.55814676257,222030.072143296,6,-5.55111512312578e-16,6.66133814775094e-15,1.01106893548783,0.45537477231,222030.072144519,5.51647616475748e-12
"BWA",2006,2877.74004565858,223412.895417842,2877.74004565858,223412.895417845,6,-3.33066907387547e-16,1.33226762955019e-14,2.74251922373105,1.22755636759,223412.895418831,4.42801351141497e-12
"BWA",2007,2347.07721318598,225294.056124729,2347.07721318598,225294.05612474,6,2.22044604925031e-16,4.57411886145564e-14,2.44686947177795,1.08607813,225294.056126326,7.087663789207e-12
"BWA",2008,2327.29009160672,227651.520559181,2327.29009160672,227651.520559185,6,2.22044604925031e-16,2.06501482580279e-14,3.5868719509481,1.57559762488,227651.520560098,4.02899935636469e-12
"BWA",2009,2319.88327692371,230084.34373081,2319.88327692371,230084.343730816,6,6.66133814775094e-16,2.73114864057789e-14,3.68015291812525,1.59947993785,230084.34373188,4.65072425015478e-12
"BWA",2010,2300.00675691042,232544.567722697,2300.00675691042,232544.567722707,6,0,4.35207425653061e-14,3.29107573564433,1.41524515832,232544.567723593,3.85558251991824e-12
"BWA",2011,2263.58151994147,235003.240770275,2263.58151994148,235003.24077028,6,2.22044604925031e-16,1.99840144432528e-14,0.915833485778732,0.38971100261,235003.240772046,7.53419548971124e-12
"BWA",2012,2199.86245656277,237341.445986751,2199.86245656277,237341.445986762,6,-4.44089209850063e-16,4.70734562441066e-14,0.389817386464449,0.16424328454,237341.445987408,2.76911826802007e-12
"BWA",2013,2112.15170412361,239515.949072123,2112.15170412361,239515.949072123,6,0,3.99680288865056e-15,0.955998615298937,0.3991377689,239515.949075331,1.33957289705222e-11
"BWA",2014,2034.83311920849,241670.78782928,2034.83311920849,241670.787829286,6,0,2.19824158875781e-14,2.52518987624045,1.04488833711,241670.78783028,4.13713507896318e-12
"BWA",2015,2000.78906689539,243808.421513929,2000.78906689539,243808.421513929,6,4.44089209850063e-16,6.66133814775094e-16,0.518384167820944,0.21261946761,243808.421518483,1.86806126123429e-11
"BWA",2016,1924.53756901734,245904.556601712,1924.53756901734,245904.556601711,6,6.66133814775094e-16,-2.1094237467878e-15,1.43177141025463,0.58224679934,245904.55660342,6.948441821919e-12
"BWA",2017,1835.13600345257,247863.713325264,1835.13600345257,247863.713325273,6,2.22044604925031e-16,3.574918139293e-14,4.31901707700243,1.7424967209,247863.713325765,2.01971772639808e-12
