"prevalence","outcome","relative_change","lo","hi"
11.0422006554769,"Post-neonatal (1 month–5 years)",9.08013707725097,6.41746227080608,11.8094347571754
11.2452535126661,"Post-neonatal (1 month–5 years)",9.27199972528079,6.55138463452958,12.0620812663969
11.4520402689301,"Post-neonatal (1 month–5 years)",9.4677373371459,6.68794288511902,12.319960378445
11.6626295862052,"Post-neonatal (1 month–5 years)",9.66743468642124,6.82719215264094,12.5831914922529
11.8770913890381,"Post-neonatal (1 month–5 years)",9.87117864472211,6.96918884135358,12.8518971447375
12.0954968878048,"Post-neonatal (1 month–5 years)",10.079058242495,7.11399066357223,13.1262031083632
12.3179186023543,"Post-neonatal (1 month–5 years)",10.2911647318812,7.26165667458951,13.4062384922745
12.5444303860892,"Post-neonatal (1 month–5 years)",10.5075916517361,7.41224730868892,13.6921358471474
12.7751074504877,"Post-neonatal (1 month–5 years)",10.7284348948869,7.56582441629126,13.9840312739171
13.0100263900773,"Post-neonatal (1 month–5 years)",10.9537927777207,7.72245130227536,14.2820645365443
13.2492652078668,"Post-neonatal (1 month–5 years)",11.183766112193,7.88219276551596,14.586379178995
13.4929033412473,"Post-neonatal (1 month–5 years)",11.418458280356,8.04511513968365,14.8971226466109
13.7410216883685,"Post-neonatal (1 month–5 years)",11.6579753115059,8.21128633535353,15.2144464120617
13.9937026349999,"Post-neonatal (1 month–5 years)",11.9024259620573,8.38077588347115,15.5385061060764
14.2510300818873,"Post-neonatal (1 month–5 years)",12.1519217982543,8.55365498022631,15.8694616531606
14.5130894726103,"Post-neonatal (1 month–5 years)",12.4065772818336,8.72999653338777,16.2074774125182
14.7799678219539,"Post-neonatal (1 month–5 years)",12.6665098587625,8.90987521015347,16.552722324405
15.0517537448009,"Post-neonatal (1 month–5 years)",12.9318400511767,9.09336748657392,16.9053700621547
15.3285374855558,"Post-neonatal (1 month–5 years)",13.2026915526523,9.28055169860837,17.2655991901268
15.6104109481095,"Post-neonatal (1 month–5 years)",13.4791913269487,9.47150809487627,17.633593327842
15.8974677263558,"Post-neonatal (1 month–5 years)",13.7614697103692,9.66631889116874,18.0095413205797
16.1898031352679,"Post-neonatal (1 month–5 years)",14.0496605178906,9.86506832678831,18.3936374167305
16.4875142425475,"Post-neonatal (1 month–5 years)",14.3439011532215,10.0678427227872,18.7860814522067
16.7906999008551,"Post-neonatal (1 month–5 years)",14.6443327229548,10.2747305421787,19.1870790422328
17.0994607806334,"Post-neonatal (1 month–5 years)",14.9511001549909,10.4858224521974,19.596841780852
17.413899403534,"Post-neonatal (1 month–5 years)",15.2643523214125,10.7012113886911,20.0155874485034
17.7341201764592,"Post-neonatal (1 month–5 years)",15.5842421660041,10.9209926227252,20.4435402280414
18.060229426229,"Post-neonatal (1 month–5 years)",15.9109268366168,11.1452638294907,20.8809309295882
18.3923354348866,"Post-neonatal (1 month–5 years)",16.2445678225886,11.3741251596047,21.3279972246327
18.7305484756523,"Post-neonatal (1 month–5 years)",16.5853310974422,11.6076793129006,21.7849838898059
19.0749808495391,"Post-neonatal (1 month–5 years)",16.9333872670901,11.8460316148083,22.2521430607908
19.4257469226412,"Post-neonatal (1 month–5 years)",17.2889117237928,12.0892900954277,22.7297344968449
19.7829631641082,"Post-neonatal (1 month–5 years)",17.6520848061223,12.3375655714055,23.2180258564403
20.1467481848185,"Post-neonatal (1 month–5 years)",18.0230919652008,12.5909717307304,23.7172929845526
20.5172227767621,"Post-neonatal (1 month–5 years)",18.4021239374943,12.8496252205644,24.2278202121587
20.8945099531494,"Post-neonatal (1 month–5 years)",18.789376924457,13.1136457382369,24.7499006685333
21.2787349892566,"Post-neonatal (1 month–5 years)",19.1850527793362,13.3831561255312,25.2838366069659
21.6700254640221,"Post-neonatal (1 month–5 years)",19.5893592014627,13.658282466401,25.8299397445517
22.0685113024087,"Post-neonatal (1 month–5 years)",20.0025099383702,13.9391541882594,26.3885316167506
22.4743248185435,"Post-neonatal (1 month–5 years)",20.4247249961018,14.2259041669911,26.959943947439
22.887600759652,"Post-neonatal (1 month–5 years)",20.8562308580824,14.5186688358442,27.5445190352263
23.3084763508002,"Post-neonatal (1 month–5 years)",21.2972607129551,14.8175882983651,28.1426101568456
23.7370913404588,"Post-neonatal (1 month–5 years)",21.7480546917977,15.122806445551,28.7545819884745
24.1735880469054,"Post-neonatal (1 month–5 years)",22.208860115162,15.4344710773978,29.3808110458915
24.6181114054809,"Post-neonatal (1 month–5 years)",22.6799317503957,15.752734029034,30.0216861444214
