"grouping","age_group","pfpr","hr","lo","hi"
"six bands (4-month split)","1-3 months",53,1.24925194474414,1.09889638325889,1.42017977784113
"six bands (4-month split)","1-3 months",54,1.25173681208919,1.09985815796098,1.42458828476935
"six bands (4-month split)","1-3 months",55,1.25407880620992,1.10063650958557,1.42891285041697
"six bands (4-month split)","1-3 months",56,1.25628141843347,1.10123085209065,1.43316271906564
"six bands (4-month split)","1-3 months",57,1.25834869741292,1.10164168820086,1.43734706233456
"six bands (4-month split)","1-3 months",58,1.26028517086043,1.10187042864178,1.44147503245779
"six bands (4-month split)","1-3 months",59,1.26209578967052,1.10191918936332,1.44555589709298
"six bands (4-month split)","1-3 months",60,1.263785903971,1.10179058859577,1.44959925017273
"six bands (4-month split)","4-11 months",0,0.988409441757498,0.983057543114007,0.993790476863337
"six bands (4-month split)","4-11 months",1,1,1,1
"six bands (4-month split)","4-11 months",2,1.01172579051901,1.00625098695801,1.01723038135417
"six bands (4-month split)","4-11 months",3,1.02358663181417,1.0125501925224,1.03474336439425
"six bands (4-month split)","4-11 months",4,1.03558118748581,1.01890790689122,1.05252730754303
"six bands (4-month split)","4-11 months",5,1.04770698449109,1.02533722961146,1.07056477971387
"six bands (4-month split)","4-11 months",6,1.05996043302236,1.03185334470237,1.08883314217198
"six bands (4-month split)","4-11 months",7,1.07233684826267,1.03847280346364,1.10730518151907
"six bands (4-month split)","4-11 months",8,1.08483047432741,1.0452128238775,1.12594978854504
"six bands (4-month split)","4-11 months",9,1.09743451073111,1.05209061641464,1.1447326746891
"six bands (4-month split)","4-11 months",10,1.11014114173244,1.05912274594313,1.16361711547376
"six bands (4-month split)","4-11 months",11,1.12294156892944,1.06632453878064,1.18256470836889
"six bands (4-month split)","4-11 months",12,1.13582604746024,1.07370954300645,1.20153613096964
"six bands (4-month split)","4-11 months",13,1.14878392616099,1.08128904920884,1.22049188417423
"six bands (4-month split)","4-11 months",14,1.16180369199772,1.08907167793941,1.2393930042267
"six bands (4-month split)","4-11 months",15,1.17487301905522,1.09706303936559,1.25820172713333
"six bands (4-month split)","4-11 months",16,1.1879788223175,1.10526546992664,1.27688208912249
"six bands (4-month split)","4-11 months",17,1.20110731641389,1.11367785009161,1.29540044764678
"six bands (4-month split)","4-11 months",18,1.21424407944058,1.12229550661929,1.3137259088721
"six bands (4-month split)","4-11 months",19,1.22737412188868,1.13111020173658,1.33183064989527
"six bands (4-month split)","4-11 months",20,1.2404819606288,1.14011021046997,1.34969012689673
"six bands (4-month split)","4-11 months",21,1.25355169781218,1.14928048569406,1.3672831642476
"six bands (4-month split)","4-11 months",22,1.26656710445589,1.15860290834673,1.3845919240604
"six bands (4-month split)","4-11 months",23,1.27951170838176,1.16805661764052,1.40160176070323
"six bands (4-month split)","4-11 months",24,1.29236888608518,1.17761841296095,1.41830097027909
"six bands (4-month split)","4-11 months",25,1.30512195800815,1.18726321574616,1.43468045053895
"six bands (4-month split)","4-11 months",26,1.31775428660488,1.19696457604593,1.45073329204265
"six bands (4-month split)","4-11 months",27,1.33024937649393,1.20669520515134,1.46645432592115
"six bands (4-month split)","4-11 months",28,1.34259097591363,1.21642751292366,1.4818396570728
"six bands (4-month split)","4-11 months",29,1.35476317862765,1.22613412672941,1.49688621346916
"six bands (4-month split)","4-11 months",30,1.36675052536005,1.23578836857297,1.51159134207507
"six bands (4-month split)","4-11 months",31,1.37853810380452,1.24536466837257,1.52595247954509
"six bands (4-month split)","4-11 months",32,1.39011164620431,1.25483889452622,1.53996692112613
"six bands (4-month split)","4-11 months",33,1.40145762349808,1.26418858782557,1.55363170445885
"six bands (4-month split)","4-11 months",34,1.41256333501535,1.27339309114288,1.56694361647497
"six bands (4-month split)","4-11 months",35,1.42341699272744,1.28243357461319,1.57989932211215
"six bands (4-month split)","4-11 months",36,1.43400779909897,1.29129296365059,1.59249560383503
"six bands (4-month split)","4-11 months",37,1.44432601762485,1.2999557843751,1.60472969178015
"six bands (4-month split)","4-11 months",38,1.45436303522632,1.30840794726384,1.61659965659487
"six bands (4-month split)","4-11 months",39,1.46411141574282,1.31663649450756,1.62810483125048
