"subset","split","region","era","prevalence","af","lo","hi"
"Central & East","region","Central & East","All years",44.3521003748224,0.326965291112848,0.22215971911034,0.420688915063338
"Central & East","region","Central & East","All years",45.8244765985924,0.32672679801656,0.22064100627289,0.422405752587672
"Central & East","region","Central & East","All years",47.2968528223623,0.325892556680336,0.217549621390158,0.423550969562431
"Central & East","region","Central & East","All years",48.7692290461323,0.324490798385914,0.214195999056951,0.423550705673202
"Central & East","region","Central & East","All years",50.2416052699023,0.322549866993944,0.210201803168495,0.424977818004973
"Central & East","region","Central & East","All years",51.7139814936723,0.320098300114457,0.206061144859854,0.424207813843794
"Central & East","region","Central & East","All years",53.1863577174423,0.317164816272178,0.200054449521069,0.423452444164805
"Central & East","region","Central & East","All years",54.6587339412122,0.313777876080611,0.19337799181321,0.422666457676012
"Central & East","region","Central & East","All years",56.1311101649822,0.309965501438421,0.187548159750172,0.420265500966723
"Central & East","region","Central & East","All years",57.6034863887522,0.305755107719611,0.180672556157679,0.41979428549843
"Central & East","region","Central & East","All years",59.0758626125222,0.301172404573154,0.173367021679102,0.417624475299902
"West, before 2013","era x region","West","before 2013",2.81956361202396,0.0546818588713591,0.0165018488825082,0.0898623682959627
"West, before 2013","era x region","West","before 2013",4.73499093476497,0.108594196092115,0.0336534557282252,0.175586349893407
"West, before 2013","era x region","West","before 2013",6.65041825750598,0.158696656997012,0.0507598308056353,0.252309480295372
"West, before 2013","era x region","West","before 2013",8.56584558024698,0.2047942542553,0.0673813425526635,0.320558400066463
"West, before 2013","era x region","West","before 2013",10.481272902988,0.246741261825071,0.0834383819284486,0.37854038679454
"West, before 2013","era x region","West","before 2013",12.396700225729,0.284470492461363,0.10037208293744,0.428400952945858
"West, before 2013","era x region","West","before 2013",14.31212754847,0.317980391533411,0.115040519757169,0.469633574957783
