"group","records","observed_deaths","fitted_deaths","age_band","grouping","observed_probability","fitted_probability","residual_deaths"
"SL61FL",12022,441,429.559949447908,"<1","survey",0.0366827482947929,0.0357311553358766,11.4400505520919
"SL7AFL",9911,294,293.709399426391,"<1","survey",0.0296640096862072,0.0296346886718183,0.290600573608856
"ST51FL",1939,29,40.5496862943947,"<1","survey",0.0149561629706034,0.0209126798836486,-11.5496862943947
"SZ51FL",2058,38,48.9180971080772,"<1","survey",0.0184645286686103,0.0237697264859462,-10.9180971080772
"TD41FL",5409,192,190.52478935294,"<1","survey",0.0354963948973932,0.0352236622948679,1.47521064705955
"TD71FL",18064,538,540.791550432427,"<1","survey",0.0297829937998229,0.0299375304712371,-2.79155043242679
"TG61FL",6260,158,156.510027933656,"<1","survey",0.0252396166134185,0.0250016019063349,1.48997206634368
"TZ4IFL",8468,269,274.133691270034,"<1","survey",0.0317666509211148,0.0323728969378878,-5.13369127003386
"TZ63FL",8031,226,222.007853171938,"<1","survey",0.0281409538040095,0.0276438616824727,3.992146828062
"TZ7BFL",10192,257,262.976322222571,"<1","survey",0.0252158555729984,0.0258022294174422,-5.97632222257107
"TZ82FL",10796,261,258.270300566856,"<1","survey",0.0241756206002223,0.0239227770069337,2.72969943314394
"UG41FL",1427,44,48.2740067428039,"<1","survey",0.0308339173090399,0.0338290166382648,-4.27400674280388
"UG52FL",8394,228,240.221547922453,"<1","survey",0.0271622587562545,0.0286182449276213,-12.2215479224533
"UG5AFL",3714,93,102.069979390225,"<1","survey",0.0250403877221325,0.0274824931045301,-9.06997939022479
"UG61FL",7928,217,211.972610338763,"<1","survey",0.0273713420787084,0.0267372111930831,5.02738966123715
"UG7BFL",13035,324,319.066270188005,"<1","survey",0.0248561565017261,0.0244776578586885,4.93372981199548
"ZA71FL",2612,61,55.8620762767624,"<1","survey",0.023353751914242,0.021386706078393,5.13792372323761
"ZM42FL",3084,103,107.489366825872,"<1","survey",0.0333981841763943,0.0348538802937327,-4.48936682587163
"ZM51FL",6399,205,193.992032257697,"<1","survey",0.0320362556649476,0.0303159919140018,11.0079677423028
"ZM61FL",13586,322,330.22792010266,"<1","survey",0.0237008685411453,0.024306486096177,-8.22792010266045
"ZM71FL",9936,267,253.350608160127,"<1","survey",0.0268719806763285,0.0254982496135394,13.6493918398727
"ZM81FL",8665,151,170.185687210013,"<1","survey",0.0174264281592614,0.0196405870986743,-19.1856872100132
"ZW52FL",5285,128,140.11086161668,"<1","survey",0.0242194891201514,0.0265110428792204,-12.1108616166799
"ZW62FL",5570,150,143.131816046519,"<1","survey",0.0269299820466786,0.0256969149096084,6.86818395348132
"ZW72FL",5436,143,136.113153968338,"<1","survey",0.0263061074319352,0.0250392115467877,6.8868460316618
"2008",64778,1937,1938.70266380417,"<1","calendar_year",0.0299021272654296,0.0299284118652037,-1.70266380416706
"2006",51480,1649,1611.74322333901,"<1","calendar_year",0.032031857031857,0.0313081434215036,37.2567766609925
"2009",65576,1919,1896.23015111439,"<1","calendar_year",0.0292637550323289,0.0289165266425886,22.7698488856076
"2007",53807,1672,1629.02299305873,"<1","calendar_year",0.0310740238258963,0.0302752986239473,42.9770069412689
"2010",72570,2096,2057.14167039356,"<1","calendar_year",0.0288824583161086,0.0283469983518474,38.8583296064357
"2011",66033,1705,1823.17262092872,"<1","calendar_year",0.0258204231217724,0.0276100225785398,-118.172620928718
"2013",52300,1407,1393.9384830985,"<1","calendar_year",0.0269024856596558,0.0266527434626865,13.0615169014977
"2014",52205,1469,1469.97820842223,"<1","calendar_year",0.0281390671391629,0.0281578049692986,-0.978208422231319
"2012",61582,1684,1704.136049546,"<1","calendar_year",0.0273456529505375,0.027672632417687,-20.136049545999
"2015",50475,1491,1433.75124890735,"<1","calendar_year",0.0295393759286776,0.0284051758079713,57.2487510926478
"2016",40100,1142,1146.56724455807,"<1","calendar_year",0.0284788029925187,0.0285926993655378,-4.56724455806625
"2023",23135,667,614.472732208933,"<1","calendar_year",0.0288307758807002,0.0265603082865327,52.527267791067
"2021",39007,956,979.828304308513,"<1","calendar_year",0.0245084215653601,0.0251192940833315,-23.828304308513
"2022",28744,687,730.336935495323,"<1","calendar_year",0.0239006401335931,0.0254083264505748,-43.3369354953226
"2020",43673,1064,1115.76036437956,"<1","calendar_year",0.024362878666453,0.0255480586261435,-51.7603643795635
