"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"MLI","6-11 months",10053.2755149646,2494.63781403271,402995.395099578,9241.8219792736,10839.4714391702,2293.28227857045,2689.72588048849
"MLI","12 to 23 months",11512.8475953537,1482.91299088148,776367.033409704,10733.0918970861,12403.8945284574,1382.47651371127,1597.68434189961
"MLI","2 to 4",24232.2228913844,1145.45654887031,2115507.82221142,22150.0086275426,26160.9767197724,1047.0303345127,1236.62869241606
"MOZ","0 to 6 days (early neonatal)",23777.2480515257,115368.274963855,20609.867018446,22483.9319893991,25002.4361950413,109093.047370349,121312.942837835
"MOZ","7 to 27 days (late neonatal)",3407.24720517789,5592.94820846185,60920.4140317784,3160.28029543941,3694.14310261215,5187.55551101621,6063.88377578187
"MOZ","1 to 5 months",13732.9527296918,3097.30560907198,443383.845929445,12748.3842344681,14752.5920498405,2875.24779071377,3327.27323858976
"MOZ","6-11 months",11037.6458965482,2169.42317085189,508782.52084926,10218.6462177861,11894.6536725467,2008.45072286075,2337.86602037589
"MOZ","12 to 23 months",8751.72445474373,874.38786009732,1000897.29674079,8096.59864032602,9493.45330937964,808.93401018175,948.49425013865
"MOZ","2 to 4",13317.5692748943,463.41007746991,2873819.52235577,12230.7351792894,14417.5465539172,425.59162411366,501.68587281704
"MRT","0 to 6 days (early neonatal)",2777.65733330479,105817.240384536,2624.95725952679,2642.79359221576,2932.26347441413,100679.490404053,111707.09404018
"MRT","7 to 27 days (late neonatal)",581.545107236431,7479.04628063327,7775.65862565019,538.706266478941,629.719038211529,6928.11107604271,8098.59419669254
"MRT","1 to 5 months",1214.12389835193,2131.68513609142,56956.0615587957,1120.51307843435,1321.00507125582,1967.32893351069,2319.34061994815
"MRT","6-11 months",578.393861562466,873.33682458197,66228.0400049911,534.359272693904,622.670666053657,806.84748129891,940.19189758105
"MRT","12 to 23 months",561.43667133656,429.05819611857,130853.268021806,517.362789500981,600.642972725335,395.3762846907,459.02023067948
"MRT","2 to 4",974.742121971038,258.16976430509,377558.590021078,906.409445796682,1059.36352755567,240.07120212682,280.58255210046
"MWI","0 to 6 days (early neonatal)",12574.9872492674,108814.264312272,11556.3775840822,11866.3419807419,13235.4218149631,102682.193398446,114529.156897691
"MWI","7 to 27 days (late neonatal)",2127.03249766504,6219.22402886315,34200.930659413,1956.95247521046,2306.16330346816,5721.92755424875,6742.98406214114
"MWI","1 to 5 months",6244.49238726967,2497.57873776051,250021.842869662,5747.02546420914,6738.76417744212,2298.60935278566,2695.27018123575
